[2022-10-19 09:13:53,852] INFO [shopproduct:102] productcontent user_id:jk prodnum:846 prodname:콘벤츠 티 prodimg:brandimgs/detail_1848166_57_500.jpg prodbrand:무지 proditems:반팔티 prodname:콘벤츠 티 date:2022-10-19 09:13:53
[2022-10-19 09:13:55,781] INFO [shopproduct:102] productcontent user_id:bbb prodnum:584 prodname:퍼플 맨투맨 prodimg:brandimgs/7_2njXZze.jpg prodbrand:무지 proditems:긴팔티 prodname:퍼플 맨투맨 date:2022-10-19 09:13:55
[2022-10-19 09:13:56,647] INFO [shopproduct:102] productcontent user_id:jk prodnum:394 prodname:루즈핏 시어 서커 스트라이프 셔츠 prodimg:brandimgs/7_vdHRYXT.jpg prodbrand:스파오 proditems:긴팔티 prodname:루즈핏 시어 서커 스트라이프 셔츠 date:2022-10-19 09:13:56
[2022-10-19 09:13:57,586] INFO [shopproduct:102] productcontent user_id:jk prodnum:394 prodname:루즈핏 시어 서커 스트라이프 셔츠 prodimg:brandimgs/7_vdHRYXT.jpg prodbrand:스파오 proditems:긴팔티 prodname:루즈핏 시어 서커 스트라이프 셔츠 date:2022-10-19 09:13:57
[2022-10-19 09:14:07,254] INFO [shopproduct:102] productcontent user_id:jk prodnum:394 prodname:루즈핏 시어 서커 스트라이프 셔츠 prodimg:brandimgs/7_vdHRYXT.jpg prodbrand:스파오 proditems:긴팔티 prodname:루즈핏 시어 서커 스트라이프 셔츠 date:2022-10-19 09:14:07
[2022-10-19 09:14:10,247] INFO [shopproduct:82] productcontent user_id:bbb prodnum:584 prodname:퍼플 맨투맨 prodimg:brandimgs/7_2njXZze.jpg prodbrand:무지 proditems:긴팔티 prodname:퍼플 맨투맨 date:2022-10-19 09:14:10
[2022-10-19 09:14:16,052] INFO [shopproduct:102] productcontent user_id:bbb prodnum:503 prodname:바이더 헤이즈 100A prodimg:brandimgs/nb_0_3_40.jpg prodbrand:뉴발란스 proditems:아우터 prodname:바이더 헤이즈 100A date:2022-10-19 09:14:16
[2022-10-19 09:14:33,110] INFO [shopproduct:82] productcontent user_id:jk prodnum:394 prodname:루즈핏 시어 서커 스트라이프 셔츠 prodimg:brandimgs/7_vdHRYXT.jpg prodbrand:스파오 proditems:긴팔티 prodname:루즈핏 시어 서커 스트라이프 셔츠 date:2022-10-19 09:14:33
[2022-10-19 09:14:34,282] INFO [shopproduct:82] productcontent user_id:bbb prodnum:503 prodname:바이더 헤이즈 100A prodimg:brandimgs/nb_0_3_40.jpg prodbrand:뉴발란스 proditems:아우터 prodname:바이더 헤이즈 100A date:2022-10-19 09:14:34
[2022-10-19 09:14:39,111] INFO [shopproduct:82] productcontent user_id:bbb prodnum:412 prodname:404에러티 prodimg:brandimgs/404_0_0.jpg prodbrand:무지 proditems:반팔티 prodname:404에러티 date:2022-10-19 09:14:39
[2022-10-19 09:14:42,467] INFO [shopproduct:102] productcontent user_id:jk prodnum:846 prodname:콘벤츠 티 prodimg:brandimgs/detail_1848166_57_500.jpg prodbrand:무지 proditems:반팔티 prodname:콘벤츠 티 date:2022-10-19 09:14:42
[2022-10-19 09:15:03,104] INFO [shopproduct:82] productcontent user_id:bbb prodnum:412 prodname:404에러티 prodimg:brandimgs/404_0_0.jpg prodbrand:무지 proditems:반팔티 prodname:404에러티 date:2022-10-19 09:15:03
[2022-10-19 09:15:13,888] INFO [shopproduct:102] productcontent user_id:bbb prodnum:327 prodname:호그와트 기숙사 잠옷 prodimg:brandimgs/4_2q9e1RF.jpg prodbrand:스파오 proditems:한벌옷 prodname:호그와트 기숙사 잠옷 date:2022-10-19 09:15:13
[2022-10-19 09:15:27,584] INFO [shopproduct:82] productcontent user_id:jk prodnum:846 prodname:콘벤츠 티 prodimg:brandimgs/detail_1848166_57_500.jpg prodbrand:무지 proditems:반팔티 prodname:콘벤츠 티 date:2022-10-19 09:15:27
[2022-10-19 09:15:30,332] INFO [shopproduct:102] productcontent user_id:jk prodnum:358 prodname:골든 할렘 팬츠 prodimg:brandimgs/nf_2_0_30.jpg prodbrand:노스페이스 proditems:반바지 prodname:골든 할렘 팬츠 date:2022-10-19 09:15:30
[2022-10-19 09:15:31,870] INFO [shopproduct:82] productcontent user_id:ham prodnum:412 prodname:404에러티 prodimg:brandimgs/404_0_0.jpg prodbrand:무지 proditems:반팔티 prodname:404에러티 date:2022-10-19 09:15:31
[2022-10-19 09:15:34,165] INFO [shopproduct:82] productcontent user_id:bbb prodnum:327 prodname:호그와트 기숙사 잠옷 prodimg:brandimgs/4_2q9e1RF.jpg prodbrand:스파오 proditems:한벌옷 prodname:호그와트 기숙사 잠옷 date:2022-10-19 09:15:34
[2022-10-19 09:15:52,478] INFO [shopproduct:82] productcontent user_id:ham prodnum:412 prodname:404에러티 prodimg:brandimgs/404_0_0.jpg prodbrand:무지 proditems:반팔티 prodname:404에러티 date:2022-10-19 09:15:52
[2022-10-19 09:15:55,111] INFO [shopproduct:102] productcontent user_id:bbb prodnum:800 prodname:화이트 리본 아우터 prodimg:brandimgs/2_aEHYsyG.jpg prodbrand:무지 proditems:아우터 prodname:화이트 리본 아우터 date:2022-10-19 09:15:55
[2022-10-19 09:15:56,710] INFO [shopproduct:102] productcontent user_id:ham prodnum:701 prodname:테크 플리스 후드 집업 prodimg:brandimgs/43.jpg prodbrand:나이키 proditems:아우터 prodname:테크 플리스 후드 집업 date:2022-10-19 09:15:56
[2022-10-19 09:16:07,464] INFO [shopproduct:82] productcontent user_id:bbb prodnum:800 prodname:화이트 리본 아우터 prodimg:brandimgs/2_aEHYsyG.jpg prodbrand:무지 proditems:아우터 prodname:화이트 리본 아우터 date:2022-10-19 09:16:07
[2022-10-19 09:16:09,882] INFO [shopproduct:82] productcontent user_id:ham prodnum:701 prodname:테크 플리스 후드 집업 prodimg:brandimgs/43.jpg prodbrand:나이키 proditems:아우터 prodname:테크 플리스 후드 집업 date:2022-10-19 09:16:09
